NAME,          east,   north,   alt,   trk,    gs,    vs,    time
unitless,      [ft],   [ft],   [ft],  [rad],  [ftps],  [ftps], [s]
OWNSHIP, 0.000, 0.000, 1349.664, 6.22, 109.46, 0.00, 0.0
OWNSHIP, -0.656, 10.925, 1349.664, 6.22, 109.46, 0.00, 0.1
OWNSHIP, -1.312, 21.850, 1349.664, 6.22, 109.46, 0.00, 0.2
OWNSHIP, -1.967, 32.776, 1349.664, 6.22, 109.46, 0.00, 0.3
OWNSHIP, -2.623, 43.701, 1349.664, 6.22, 109.46, 0.00, 0.4
OWNSHIP, -3.279, 54.626, 1349.664, 6.22, 109.46, 0.00, 0.5
OWNSHIP, -3.935, 65.551, 1349.664, 6.22, 109.46, 0.00, 0.6
OWNSHIP, -4.591, 76.476, 1349.664, 6.22, 109.46, 0.00, 0.7
OWNSHIP, -5.246, 87.402, 1349.664, 6.22, 109.46, 0.00, 0.8
OWNSHIP, -5.902, 98.327, 1349.664, 6.22, 109.46, 0.00, 0.9
OWNSHIP, -6.558, 109.252, 1349.664, 6.22, 109.46, 0.00, 1.0
OWNSHIP, -7.214, 120.177, 1349.664, 6.22, 109.46, 0.00, 1.1
OWNSHIP, -7.870, 131.102, 1349.664, 6.22, 109.46, 0.00, 1.2
OWNSHIP, -8.525, 142.027, 1349.664, 6.22, 109.46, 0.00, 1.3
OWNSHIP, -9.181, 152.953, 1349.664, 6.22, 109.46, 0.00, 1.4
OWNSHIP, -9.837, 163.878, 1349.664, 6.22, 109.46, 0.00, 1.5
OWNSHIP, -10.493, 174.803, 1349.664, 6.22, 109.46, 0.00, 1.6
OWNSHIP, -11.149, 185.728, 1349.664, 6.22, 109.46, 0.00, 1.7
OWNSHIP, -11.805, 196.653, 1349.664, 6.22, 109.46, 0.00, 1.8
OWNSHIP, -12.460, 207.579, 1349.664, 6.22, 109.46, 0.00, 1.9
OWNSHIP, -13.116, 218.504, 1349.664, 6.22, 109.46, 0.00, 2.0
OWNSHIP, -13.772, 229.429, 1349.664, 6.22, 109.46, 0.00, 2.1
OWNSHIP, -14.428, 240.354, 1349.664, 6.22, 109.46, 0.00, 2.2
OWNSHIP, -15.084, 251.279, 1349.664, 6.22, 109.46, 0.00, 2.3
OWNSHIP, -15.739, 262.205, 1349.664, 6.22, 109.46, 0.00, 2.4
OWNSHIP, -16.395, 273.130, 1349.664, 6.22, 109.46, 0.00, 2.5
